staffid1	staffid2
2808407	12500
2808407	3051291
2808408	25504
2808409	12467
2808411	25506
2808414	25507
2808415	25508
2808415	3216165
2808417	25510
2808420	25522
2808422	25528
2808422	2460545
2808423	25524
2808425	25525
2808426	2808426
2808428	25527
2808433	12468
2808433	2460556
2808433	2808434
2808434	12468
2808434	2460556
2808434	2808433
2808436	25511
2808437	25512
2818560	25576
2818600	25443
2818601	25445
2818605	25448
2818607	25449
2818608	25450
2818610	25454
2818611	25455
2818616	25458
2818617	25460
2818618	25461
2818619	25462
2818620	25463
2818621	25464
2818623	25466
2818624	25467
2818625	25468
2818627	25470
2818628	25472
2818630	12491
2818631	25474
2818632	25475
2818633	25476
2818638	25501
2818640	25503
2834766	3650
2834772	3656
2834782	3651
2834798	3654
2834801	3658
2834803	3655
2834844	12806
2873323	3622
2873324	3625
2873324	860977
2873325	3626
2873369	12462
2873370	12463
2873371	12464
2873372	12466
2873377	25513
2873378	12469
2873380	25514
2873380	3694452
2873381	25515
2873381	2447951
2873384	25517
2873385	25518
2873386	12470
2886130	25903
2895909	25428
2895910	25433
2895911	25431
2895914	25434
2895915	25436
2895917	25437
2895918	25438
2895918	2236571
2895919	25439
2895921	25441
2934657	25519
2963235	25861
2963235	186504
3019004	12433
3019004	123496
3019004	1301163
3019004	1309856
3019272	3684
3039884	25574
3039884	2460555
3048077	25707
3051291	12500
3051291	2808407
3124960	3688
3124960	3581616
3133310	12542
3133325	12550
3133325	1309953
3133361	12530
3133361	173634
3133361	546910
3133361	1309986
3133373	25440
3195243	12407
3203854	12562
3216128	12745
3216165	25508
3216165	2808415
3321949	12802
3321955	25995
3365254	25459
3392188	25738
3392188	1310252
3434943	25726
3470429	12721
3497311	25982
3497332	25938
3497342	25867
3497347	25978
3531971	25860
3581616	3688
3581616	3124960
3694452	25514
3694452	2873380
3717927	25452
3775990	12803
3775990	1322989
3776069	25883
